project_id,project_name,sector,implementing_agency,approved_cost_cr,planned_commissioning_date,reported_completion_expenditure_cr,completion_date,financial_year,source_url
240106213,"JETPUR TO BHILADI (PACK. -II) PH.-II KM.117 TO.52.50, NH-",Not Reported,NATIONAL HIGHWAYS AUTHORITY OF INDIA,399.89,2007-11-01,397.23,2009-01-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
240106282,"KRISHNAGIRI TO THOPURGHAT (NHAI), KM.94 TO KM.156, NH-",Not Reported,NATIONAL HIGHWAYS AUTHORITY OF INDIA,372.7,2008-12-01,507.29,2009-01-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
260100085,GSM BASED NETWORK EXPANSION PH-IV,Not Reported,BHARAT SANCHAR NIGAM LIMITED,170.88,2005-06-01,89.33,2009-01-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
N26000030,COMMISSIONING OF GSM EQUIPMENT OF 650K LINES(,Not Reported,BHARAT SANCHAR NIGAM LIMITED,357.67,2007-06-01,165.67,2009-01-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
N16000022,"BARGE BUMPER, BOAT LANDING AND RISER PROTECTORS",Not Reported,OIL & NATURAL GAS CORPORATION LIMITED,148.84,2008-02-01,140.19,2009-02-28,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
N24000033,FARUKHANAGAR TO KOTTAKATA (NH-7)(NATIONAL,Not Reported,NATIONAL                                 267.20      02/2009               348.29 HIGHWAYS AUTHORITY OF INDIA,267.2,2009-02-01,348.29,2009-02-28,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
N26000014,PROJECT-1 NIB-II IP INFRASTRUCTURE(BHARAT SANCHAR,Not Reported,BHARAT SANCHAR                         250.00      05/2006               279.53 NIGAM LIMITED,250.0,2006-05-01,279.53,2009-02-28,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
240101180,"DEEWAPUR TO UP/BIHAR BORDER (LMNHP-9)-NH-28, KM.402-",Annexure-I,NATIONAL HIGHWAYS AUTHORITY OF INDIA,300.0,2008-10-01,133.5,2009-02-28,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
N06000058,AUGMENTATION OF PRODUCTION 09/1987 53.06 147.86,Devanha,,25.49,1987-09-01,3.0,2009-02-28,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
N12000010,COKING COAL FACILITIES IN COAL 09/2006 133.91 134.32,Devanha,,99.58,2008-03-01,5.0,2009-02-28,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
N12000022,INSTALLATION OF MSDS-V AND 05/2007 143.02 143.02,Devanha,,104.49,2008-11-01,6.0,2009-02-28,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
N12000049,ENHANCEMENT OF LOADING 06/2008 124.88 119.88,Devanha,,11.96,2009-12-01,12.0,2009-02-28,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
220100291,BHILDI-SAMDARI (GC) - [220100291] 04/1999 244.74 479.00 369.74 - 03/2010 3 0/0,Devanha,,479.0,2009-03-01,26.0,2009-02-28,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
240106231,GOGUNDA TO UDAIPUR (RJ-3) NH.,Devanha,,76.0,2003-12-01,266.0,2009-02-28,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
240106208,DEVDHARI-WADNER - [240106208] 12/2003 145.00 145.00,Devanha,,24.71,2005-07-01,6.0,2009-02-28,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
240106232,CHITTORGARH BYPASS(RJ-6) NH-,Devanha,,76.0,2005-03-01,133.03,2009-02-28,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
N26000015,IMPLEMENTATION AND EXECUTION 10/2004 160.00 135.00,Devanha,,92.45,2006-06-01,3.0,2009-02-28,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
N26000048,500K BROAD BAND ACCESS N/W PH- 04/2007 134.25 134.25,Devanha,,31.95,2008-10-01,3.0,2009-02-28,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
020100043,NEW URANIUM ORE PROCESSING MILL (UCIL)(URANIUM,Not Reported,URANIUM                            343.26      06/2006               328.05 CORPORATION OF INDIA LIMITED,343.26,2006-06-01,328.05,2009-03-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
120100062,REBUILDING OF COKE OVEN BATTERY NO.5. BHILAI,Not Reported,,219.04,2007-01-01,167.38,2009-03-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
160100290,KOYALI-RATLAM PRODUCT OIL PIPLINE (IOCL)(INDIAN OIL,Not Reported,INDIAN OIL                       224.69      12/2006               178.84 CORPORATION LIMITED,224.69,2006-12-01,178.84,2009-03-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
180100255,RAPP 5 and 6 TRANSMISSION SYSTEM (PGCIL)(POWER GRID,Not Reported,POWER GRID                       499.45      03/2008               543.89 CORPORATION OF INDIA LIMITED,499.45,2008-03-01,543.89,2009-03-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
180100259,SYSTEM STRENGTENING SCHEME IN ROORKEE AREA,Not Reported,POWER GRID CORPORATION OF INDIA LIMITED,109.95,2009-05-01,58.78,2009-03-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
180100262,TRANSMISSION SYSTEM ASSOCIATED WITH NORTH-WEST,Not Reported,POWER GRID CORPORATION OF INDIA LIMITED,483.1,2009-01-01,378.55,2009-03-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
220100216,"ARA-SASARAM(NL),ECR(ECR) - [220100216]",Not Reported,ECR,120.0,2006-03-01,266.38,2009-03-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
240106230,BAKARIA TO GOGUNDA(RJ-2) NH-76 PHASE-II KM.74-,Not Reported,NATIONAL HIGHWAYS AUTHORITY OF INDIA,457.0,2008-04-01,460.95,2009-03-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
240106287,"FARUKHANAGAR TO KOTAKOTTA,KM 80.05-135.47 (NH-",Not Reported,NATIONAL HIGHWAYS AUTHORITY OF INDIA,313.7,2009-02-01,426.27,2009-03-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
N24000032,KADLOOR YELLAREDDY TO GUNDLA,Not Reported,NATIONAL HIGHWAYS AUTHORITY OF INDIA,546.15,2009-04-01,661.67,2009-03-31,2008-09,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1232&path=Content/ArchiveReport/flash/2008-09/FR_MAR_2009.pdf
160100291,AUGMENTATION OF MUNDRA-PANIPAT CRUDE OIL,Annexure-I,INDIAN OIL CORPORATION LIMITED,205.0,2008-03-01,140.55,2009-05-31,2009-10,https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1250&path=Content/ArchiveReport/flash/2009-10/FR_MARCH_2010.pdf
