project_id,project_name,sector,implementing_agency,planned_commissioning_year,completion_date,approved_cost_cr,reported_completion_expenditure_cr,predicted_cost_overrun,actual_cost_overrun,cost_error,predicted_delay_days,actual_delay_days,delay_error,predicted_risk,actual_risk,risk_probability,predicted_cost_p10,predicted_cost_p50,predicted_cost_p90,predicted_delay_p10,predicted_delay_p50,predicted_delay_p90,model_confidence_percentage
,CONSTRUCTION OF CIVIL STRUCTURES AND OTHER,Under Phase-Xii                      (Hindustan Steelwork,Not reported,2015,2020-08-31,154.0,280.32,-10.792908832243365,82.02597402597402,-92.81888285821739,859.0157279668363,1765.0,-905.9842720331637,2,3,0.40251690153717096,-47.14467630688601,-13.912526096056293,123.45244687841176,-276.09527749097015,285.1309870719333,4077.2895597945108,83.33
,CONSTRUCTION OF RURAL ROAD DEVELOPMENT AUTHORITY,Under Pmgsy-Jharkhand                (Hindustan,Not reported,2016,2020-08-31,787.29,285.3,-11.350230331843152,-63.76176504210647,52.41153471026332,829.7059846222401,1369.0,-539.2940153777599,3,3,0.2639678782275998,-38.34304553145963,-8.946703593141235,33.95898690945657,-406.2054954681256,255.4735459313139,4091.359653461655,83.33
,CONSTRUCTION OF RURAL ROADS WITH FIVE YEAR MAINTEINANCE,Urban Development,Not reported,2016,2020-08-31,253.92,1113.24,-47.351111547462125,338.42155009451795,-385.7726616419801,627.5785279045239,1552.0,-924.4214720954761,3,3,0.32869078589270323,-34.28626470006428,-22.768806974539835,-20.381781133936627,-189.25158634567947,266.53852756755174,1089.6385704721731,83.33
,UPGRADATION OF CRUDE OIL PUMP STATIONS OF NAHARKATIYA-,Petroleum,Not reported,2015,2020-08-31,871.35,565.63,-13.054224825028754,-35.085786423366045,22.03156159833729,502.1747898367848,2010.0,-1507.8252101632152,1,3,0.3650586269205325,-30.585918230511826,-7.013566580603005,12.093998601923147,-338.30783599038426,347.9098202206605,1250.2222832313446,83.33
,INSTALLATION OF ADDITIONAL CRUDE TANKS (7 NOS) AT PARADIP,Petroleum,Not reported,2019,2020-12-31,429.0,373.62,-12.614824409692055,-12.909090909090908,0.2942664993988533,661.0373860601595,730.0,-68.96261393984048,2,3,0.29336976119337116,-60.940958913642575,-13.329154049184183,12.946236223278575,-474.97036138925387,376.91087831247273,1714.0496557403558,83.33
,2 LANING OF SINGER RIVER TO SIZOH NALA IN ARUNACHAL,Highways And Infrastructure Development Corporation,Not reported,2019,2021-01-31,179.82,199.53,-6.111806948681891,10.960960960960966,-17.072767909642856,554.74095636378,761.0,-206.25904363621999,2,3,0.47684675990912295,-47.33287093146582,-15.266599965849256,131.27305231524107,-351.7106532675815,282.0055288032571,3703.7195168471517,83.33
,CONSTRUCTION OF MECHI BRIDGE AND APPROACHES ON INDIA-,Highways And Infrastructure Development Corporation,Not reported,2018,2021-01-31,158.65,110.62,-10.926742229182304,-30.274188465174912,19.347446235992606,466.40854733972736,975.0,-508.59145266027264,2,3,0.4073337402314123,-47.11186431619605,-14.043774058816146,123.48525886910174,-273.7942371455233,283.9804668992099,3792.099814775507,83.33
,MDPL CAPACITY EXPANSION AND PALANPUR VADODARA PIPELINE,Petroleum,Not reported,2020,2021-01-31,1879.0,1694.25,-14.457467636518775,-9.83235763704098,-4.625109999477795,503.22932568127203,244.0,259.22932568127203,2,1,0.39707335631381413,-25.59192333628472,-7.603128208194516,12.627567838278317,-354.12800284284657,331.94712339883364,1363.8411500953246,83.33
,WIDENING FROM TWO LANE TO FOUR LANE WITH PAVED SHOULDER,Highways And Infrastructure Development Corporation,Not reported,2017,2021-01-31,223.67,112.81,-17.854122125930726,-49.56408995395002,31.70996782801929,216.53327472855176,1460.0,-1243.4667252714482,2,3,0.4748139432486634,-55.753042972744026,-16.597562981160547,112.1932109758729,-345.7706669380208,218.32961696945608,3600.8493674926076,83.33
,MODERNISATION OF STEEL MELTING SHOP NO.1 AT BOKARO STEEL,Steel,Not reported,2017,2021-02-28,1154.18,1027.04,-27.028888639317056,-11.01561281602524,-16.013275823291817,726.644641095191,1185.0,-458.355358904809,2,3,0.38935536075108207,-44.382617250997455,-13.229696409145525,2.2743911252484548,-233.0379309822281,258.31192777524905,2561.937038291146,83.33
